domain                  ,totalnum
cisco.com               ,2371
microsoft.com           ,2060
frontier.com            ,1413
adobe.com               ,1081
wellsfargo.com          ,956
netapp.com              ,838
homedepot.com           ,836
amazon.com              ,656
hp.com                  ,589
carmax.com              ,437
allstate.com            ,412
ge.com                  ,410
statefarm.com           ,407
hpe.com                 ,392
intel.com               ,387
att.com                 ,335
oracle.com              ,316
delta.com               ,308
pg.com                  ,292
disney.com              ,286
nike.com                ,286
ford.com                ,278
pepsico.com             ,256
gm.com                  ,240
honeywell.com           ,239
ajg.com                 ,219
boeing.com              ,219
fedex.com               ,213
usbank.com              ,199
bankofamerica.com       ,192
cbre.com                ,186
pfizer.com              ,183
nationwide.com          ,179
ibm.com                 ,172
bestbuy.com             ,169
morganstanley.com       ,168
apple.com               ,167
chevron.com             ,167
hcahealthcare.com       ,162
adp.com                 ,160
target.com              ,157
verizon.com             ,156
capitalone.com          ,155
marriott.com            ,154
johndeere.com           ,152
salesforce.com          ,152
lilly.com               ,136
raymondjames.com        ,135
hdsupply.com            ,133
aa.com                  ,132
cdw.com                 ,132
iheartmedia.com         ,132
gs.com                  ,131
mckesson.com            ,131
metlife.com             ,126
stryker.com             ,123
vfc.com                 ,119
fnf.com                 ,117
libertymutual.com       ,117
emerson.com             ,115
cbrands.com             ,112
amfam.com               ,106
merck.com               ,106
ups.com                 ,106
centurylink.com         ,105
xerox.com               ,103
united.com              ,100
amgen.com               ,98
travelers.com           ,96
ebay.com                ,95
firstam.com             ,94
prudential.com          ,93
visa.com                ,91
cardinalhealth.com      ,90
aetna.com               ,87
fiserv.com              ,85
mohawkind.com           ,85
usaa.com                ,83
costco.com              ,82
entergy.com             ,82
ecolab.com              ,81
arrow.com               ,80
charter.com             ,80
starbucks.com           ,80
qualcomm.com            ,79
wm.com                  ,78
yum.com                 ,78
davita.com              ,76
kiewit.com              ,75
abbott.com              ,74
suntrust.com            ,74
aig.com                 ,73
cigna.com               ,71
exxonmobil.com          ,70
kohls.com               ,70
dteenergy.com           ,69
ppg.com                 ,69
raytheon.com            ,68
insight.com             ,66
motorolasolutions.com   ,66
progressive.com         ,66
usfoods.com             ,66
up.com                  ,65
humana.com              ,64
amerisourcebergen.com   ,62
thehartford.com         ,62
jacobs.com              ,61
pnc.com                 ,61
autonation.com          ,60
bnymellon.com           ,60
parker.com              ,60
sherwin.com             ,60
jetblue.com             ,59
lfg.com                 ,59
monsanto.com            ,59
corning.com             ,58
discover.com            ,58
mastercard.com          ,58
walmart.com             ,57
assurant.com            ,56
cummins.com             ,56
thermofisher.com        ,56
ti.com                  ,56
firstdata.com           ,55
nordstrom.com           ,54
nvidia.com              ,54
techdata.com            ,54
aramark.com             ,53
avnet.com               ,53
principal.com           ,53
lowes.com               ,52
nov.com                 ,51
bd.com                  ,50
conduent.com            ,50
alaskaair.com           ,49
cognizant.com           ,49
53.com                  ,48
aecom.com               ,48
drhorton.com            ,48
paccar.com              ,47
tjx.com                 ,47
duke-energy.com         ,45
ncr.com                 ,45
pfgc.com                ,45
grainger.com            ,44
abm.com                 ,43
baxter.com              ,42
harris.com              ,42
genpt.com               ,41
republicservices.com    ,41
unum.com                ,41
williams.com            ,41
abbvie.com              ,40
fisglobal.com           ,40
massmutual.com          ,40
fluor.com               ,39
mtb.com                 ,38
micron.com              ,37
ally.com                ,36
olin.com                ,36
paypal.com              ,36
owenscorning.com        ,35
adm.com                 ,34
bms.com                 ,34
discovery.com           ,34
halliburton.com         ,34
hertz.com               ,34
jabil.com               ,34
statestreet.com         ,34
viacom.com              ,34
chrobinson.com          ,33
harley-davidson.com     ,33
northwesternmutual.com  ,33
pacificlife.com         ,33
centene.com             ,32
aep.com                 ,31
citigroup.com           ,31
navistar.com            ,31
synnex.com              ,31
averydennison.com       ,30
edwardjones.com         ,30
express-scripts.com     ,30
wdc.com                 ,30
altria.com              ,29
blackrock.com           ,29
henryschein.com         ,28
lennar.com              ,28
netflix.com             ,28
questdiagnostics.com    ,28
tesla.com               ,28
weyerhaeuser.com        ,28
nucor.com               ,27
oxy.com                 ,27
rockwellcollins.com     ,27
sealedair.com           ,27
spectrumbrands.com      ,27
valero.com              ,27
freddiemac.com          ,26
jefferies.com           ,26
penskeautomotive.com    ,26
