domain               ,totalnum
gmail.com            ,878568
aol.com              ,192501
msn.com              ,54596
live.com             ,20628
naver.com            ,3890
yahoo.co.jp          ,3508
qq.com               ,2866
sky.com              ,2520
cisco.com            ,2371
microsoft.com        ,2060
uol.com.br           ,1196
orange.fr            ,1193
mail.ru              ,1149
adobe.com            ,1081
terra.com.br         ,976
amazon.com           ,656
hp.com               ,589
umich.edu            ,573
ig.com.br            ,372
nifty.com            ,351
yandex.ru            ,333
oracle.com           ,316
disney.com           ,286
siemens.com          ,283
globo.com            ,275
lycos.com            ,269
cornell.edu          ,248
samsung.com          ,242
linkedin.com         ,238
uci.edu              ,192
stanford.edu         ,189
ibm.com              ,172
daum.net             ,169
apple.com            ,167
target.com           ,157
marriott.com         ,154
rambler.ru           ,125
berkeley.edu         ,122
utexas.edu           ,122
columbia.edu         ,118
psu.edu              ,105
ebay.com             ,95
nokia.com            ,94
ieee.org             ,89
bt.com               ,88
nasa.gov             ,84
zendesk.com          ,78
fb.com               ,67
espn.com             ,59
walmart.com          ,57
nvidia.com           ,54
mit.edu              ,52
yale.edu             ,51
ea.com               ,46
epa.gov              ,41
sapo.pt              ,39
cdc.gov              ,37
paypal.com           ,36
mlb.com              ,31
redhat.com           ,31
amazon.co.jp         ,28
netflix.com          ,28
princeton.edu        ,28
uiuc.edu             ,27
bbc.co.uk            ,22
godaddy.com          ,21
pbs.org              ,21
ap.org               ,20
foxnews.com          ,20
latimes.com          ,20
booking.com          ,19
twitter.com          ,19
blackberry.com       ,18
tripadvisor.com      ,18
amazon.co.uk         ,17
spotify.com          ,17
ikea.com             ,15
usatoday.com         ,15
usgs.gov             ,15
nytimes.com          ,14
worldbank.org        ,13
nih.gov              ,12
wsj.com              ,12
box.com              ,11
buzzfeed.com         ,11
un.org               ,11
cbsnews.com          ,10
cnn.com              ,9
news.com.au          ,9
vice.com             ,9
yelp.com             ,9
airbnb.com           ,8
amazon.de            ,8
axs.com              ,8
facebook.com         ,8
twitch.tv            ,8
cbc.ca               ,7
cmu.edu              ,7
harvard.edu          ,7
npr.org              ,7
pinterest.com        ,7
reuters.com          ,7
hm.com               ,6
loc.gov              ,6
oup.com              ,6
people.com           ,6
wiley.com            ,6
amazon.fr            ,5
businessinsider.com  ,5
indiatimes.com       ,5
mozilla.com          ,5
sina.com.cn          ,5
tmz.com              ,5
asus.com             ,4
cloudflare.com       ,4
forbes.com           ,4
ft.com               ,4
github.com           ,4
inc.com              ,4
prnewswire.com       ,4
shopify.com          ,4
shutterstock.com     ,4
springer.com         ,4
surveymonkey.com     ,4
abril.com.br         ,3
bbc.com              ,3
cambridge.org        ,3
dailymail.co.uk      ,3
dropbox.com          ,3
eventbrite.com       ,3
ftc.gov              ,3
narod.ru             ,3
opera.com            ,3
parallels.com        ,3
photobucket.com      ,3
theguardian.com      ,3
washington.edu       ,3
amazon.es            ,2
billboard.com        ,2
dailymotion.com      ,2
etsy.com             ,2
express.co.uk        ,2
fandom.com           ,2
fortune.com          ,2
foursquare.com       ,2
giphy.com            ,2
gizmodo.com          ,2
guardian.co.uk       ,2
huffingtonpost.com   ,2
ign.com              ,2
lemonde.fr           ,2
nature.com           ,2
so-net.ne.jp         ,2
variety.com          ,2
who.int              ,2
biglobe.ne.jp        ,1
bing.com             ,1
chicagotribune.com   ,1
corriere.it          ,1
dictionary.com       ,1
eff.org              ,1
elmundo.es           ,1
fda.gov              ,1
gofundme.com         ,1
instagram.com        ,1
kickstarter.com      ,1
lefigaro.fr          ,1
mirror.co.uk         ,1
newsweek.com         ,1
nginx.com            ,1
nikkei.com           ,1
nypost.com           ,1
ok.ru                ,1
one.com              ,1
oreilly.com          ,1
playstation.com      ,1
plesk.com            ,1
politico.com         ,1
rottentomatoes.com   ,1
rtve.es              ,1
softonic.com         ,1
standard.co.uk       ,1
techcrunch.com       ,1
telegraph.co.uk      ,1
theatlantic.com      ,1
thedailybeast.com    ,1
thesun.co.uk         ,1
time.com             ,1
unesco.org           ,1
usnews.com           ,1
venturebeat.com      ,1
webmd.com            ,1
welt.de              ,1
whatsapp.com         ,1
whitehouse.gov       ,1
xbox.com             ,1
xfinity.com          ,1
xing.com             ,1
youtube.com          ,1
